City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Mahebourg,MU,-20.4081,57.7,82.26,94,75,2.3,broken clouds
253,Asau,RO,46.4333,26.4,38.32,38,81,9.95,broken clouds
254,Katsuura,JP,35.1333,140.3,47.61,88,100,18.52,overcast clouds
255,Maues,BR,-3.3836,-57.7186,85.53,66,91,3.49,overcast clouds
256,Fortuna,US,40.5982,-124.1573,48.65,96,100,6.91,moderate rain
257,Kandalaksha,RU,67.162,32.4123,39.7,80,98,19.3,overcast clouds
258,Roald,NO,62.5833,6.1333,53.1,54,0,16.11,clear sky
259,Sao Joao Da Barra,BR,-21.6403,-41.0511,89.69,68,7,11.07,clear sky
260,Tessalit,ML,20.1986,1.0114,93.58,9,1,9.75,clear sky
261,Mackenzie,CA,55.2999,-123.1698,34.02,93,100,0,overcast clouds
262,Saint-Augustin,CA,51.226,-58.6502,21.29,69,5,13.65,clear sky
263,Gizo,SB,-8.103,156.8419,82.85,73,98,9.46,overcast clouds
264,Thompson,CA,55.7435,-97.8558,17.76,79,75,9.22,broken clouds
265,Estacion Coahuila,MX,32.1939,-115.0017,68.86,15,100,8.19,overcast clouds
266,Marfino,RU,55.7028,37.3822,44.74,36,0,6.71,clear sky
267,Vilcun,CL,-38.65,-72.2333,54.34,32,100,3.38,overcast clouds
268,Adrar,MR,20.5022,-10.0711,86.23,12,71,2.68,broken clouds
269,Polistena,IT,38.406,16.08,53.01,87,100,9.44,overcast clouds
270,Ketchikan,US,55.3422,-131.6461,37.38,93,40,8.05,light rain
271,Qaqortoq,GL,60.7167,-46.0333,17.31,77,72,4.29,broken clouds
272,Ixtapa,MX,20.7,-105.2,63.63,59,20,4.61,few clouds
273,Tuatapere,NZ,-46.1333,167.6833,51.87,95,35,3,scattered clouds
274,Vila Do Maio,CV,15.1333,-23.2167,75.99,72,42,18.84,scattered clouds
275,Zambezi,ZM,-13.5432,23.1047,75.81,79,68,3.87,light rain
276,Port Augusta,AU,-32.5,137.7667,81.75,44,36,4.85,scattered clouds
277,Komsomolskiy,UZ,40.4272,71.7189,39.92,81,75,6.91,broken clouds
278,Svetlogorsk,BY,52.6333,29.7333,37.87,48,0,7.14,clear sky
279,Abu Samrah,SY,35.3029,37.1841,43.32,52,54,14.81,broken clouds
280,Qui Nhon,VN,13.7667,109.2333,76.26,92,100,3.51,overcast clouds
281,Namibe,AO,-15.1961,12.1522,85.39,49,28,19.42,scattered clouds
282,Khor,RU,47.8861,134.9464,-1.82,100,69,2.59,broken clouds
283,Bubaque,GW,11.2833,-15.8333,77.18,61,64,16.49,broken clouds
284,Rudnogorsk,RU,57.2639,103.7519,14.76,92,100,8.81,overcast clouds
285,Takoradi,GH,4.8845,-1.7554,85.78,69,33,11.03,light rain
286,Bud,US,39.447,-86.1758,46.42,89,100,16.2,light rain
287,Mount Gambier,AU,-37.8333,140.7667,53.51,87,69,4.61,broken clouds
